Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-06-10 00:00:00+09:00,60000.0,60100.0,58800.0,59200.0,58173.95703125,15305760,0.0,0.0
2025-06-11 00:00:00+09:00,59500.0,60100.0,59400.0,59900.0,58861.82421875,13610734,0.0,0.0
2025-06-12 00:00:00+09:00,59700.0,60000.0,59300.0,59500.0,58468.7578125,17755115,0.0,0.0
2025-06-13 00:00:00+09:00,60200.0,60200.0,57700.0,58300.0,57289.55078125,20705979,0.0,0.0
2025-06-16 00:00:00+09:00,58000.0,58100.0,56900.0,57200.0,56208.62109375,22200872,0.0,0.0
2025-06-17 00:00:00+09:00,57800.0,59800.0,57400.0,58100.0,57093.0234375,28637003,0.0,0.0
2025-06-18 00:00:00+09:00,58000.0,59800.0,57900.0,59800.0,58763.55859375,17620705,0.0,0.0
2025-06-19 00:00:00+09:00,60500.0,60600.0,59000.0,59200.0,58173.95703125,16876278,0.0,0.0
2025-06-20 00:00:00+09:00,59400.0,59800.0,59100.0,59500.0,58468.7578125,18072251,0.0,0.0
2025-06-23 00:00:00+09:00,58400.0,58500.0,57600.0,58000.0,56994.75390625,16551694,0.0,0.0
2025-06-24 00:00:00+09:00,59400.0,60600.0,59300.0,60500.0,59451.42578125,23737899,0.0,0.0
2025-06-25 00:00:00+09:00,61500.0,61600.0,60300.0,61300.0,60237.55859375,23933612,0.0,0.0
2025-06-26 00:00:00+09:00,61300.0,61300.0,59900.0,60200.0,59156.625,19402300,0.0,0.0
2025-06-27 00:00:00+09:00,60100.0,61600.0,60000.0,60800.0,60112.6953125,17340470,367.0,0.0
2025-06-30 00:00:00+09:00,61200.0,61200.0,59800.0,59800.0,59124.0,17110294,0.0,0.0
2025-07-01 00:00:00+09:00,60400.0,61100.0,60200.0,60200.0,59519.4765625,13650991,0.0,0.0
2025-07-02 00:00:00+09:00,60200.0,60900.0,59800.0,60800.0,60112.6953125,15047951,0.0,0.0
2025-07-03 00:00:00+09:00,61300.0,63800.0,61100.0,63800.0,63078.78125,32040639,0.0,0.0
2025-07-04 00:00:00+09:00,64700.0,64700.0,63000.0,63300.0,62584.43359375,23748959,0.0,0.0
2025-07-07 00:00:00+09:00,62900.0,63300.0,61700.0,61700.0,61002.5234375,17164708,0.0,0.0
2025-07-08 00:00:00+09:00,61600.0,62400.0,61000.0,61400.0,60705.91015625,20213724,0.0,0.0
2025-07-09 00:00:00+09:00,61400.0,61400.0,60200.0,60400.0,59717.21875,17533415,0.0,0.0
2025-07-10 00:00:00+09:00,60600.0,61200.0,60400.0,61000.0,60310.4375,14768473,0.0,0.0
2025-07-11 00:00:00+09:00,61300.0,62800.0,61200.0,62600.0,61892.34765625,19140650,0.0,0.0
2025-07-14 00:00:00+09:00,62300.0,62600.0,61800.0,62500.0,61793.4765625,13563846,0.0,0.0
2025-07-15 00:00:00+09:00,62300.0,63800.0,62000.0,63700.0,62979.9140625,18442202,0.0,0.0
2025-07-16 00:00:00+09:00,63700.0,64700.0,63100.0,64700.0,63968.609375,23042660,0.0,0.0
2025-07-17 00:00:00+09:00,65900.0,66800.0,64400.0,66700.0,65946.0,39448683,0.0,0.0
2025-07-18 00:00:00+09:00,67000.0,67800.0,66300.0,67100.0,66341.4765625,23951531,0.0,0.0
2025-07-21 00:00:00+09:00,67400.0,68800.0,67200.0,67800.0,67033.5625,17723148,0.0,0.0
2025-07-22 00:00:00+09:00,68100.0,68500.0,65600.0,66000.0,65253.91796875,20829006,0.0,0.0
2025-07-23 00:00:00+09:00,66200.0,66500.0,64900.0,66400.0,65649.390625,15687058,0.0,0.0
2025-07-24 00:00:00+09:00,66500.0,66800.0,65900.0,66000.0,65253.91796875,12660193,0.0,0.0
2025-07-25 00:00:00+09:00,65700.0,66300.0,65500.0,65900.0,65155.046875,8080910,0.0,0.0
2025-07-28 00:00:00+09:00,68200.0,70400.0,67200.0,70400.0,69604.171875,35332500,0.0,0.0
2025-07-29 00:00:00+09:00,70800.0,70800.0,68800.0,70600.0,69801.90625,28190940,0.0,0.0
2025-07-30 00:00:00+09:00,71000.0,73700.0,70600.0,72600.0,71779.3046875,34761444,0.0,0.0
2025-07-31 00:00:00+09:00,73000.0,74000.0,71000.0,71400.0,70592.8671875,26568072,0.0,0.0
2025-08-01 00:00:00+09:00,70200.0,72000.0,68800.0,68900.0,68121.1328125,24038534,0.0,0.0
2025-08-04 00:00:00+09:00,69500.0,70200.0,68700.0,69700.0,68912.0859375,14780072,0.0,0.0
